name,op1,op2,op3,weight,
,,,,,
movabs,r,I,,0.25,
movabs,r,r,,0.25,
movabs,r,m,,0.5,
movabs,m,,,1,
mov,r,I,,0.25,
mov,r,r,,0.25,
mov,r,m,,0.5,
mov,m,,,1,
movnti,,,,1,
movsx,r,r,,0.25,
movzx,r,r,,0.25,
movsx,r,m,,0.5,
movsxd,r,r,,0.25,
movsxd,r,m,,0.5,
movzx,r,m,,0.5,
CMOVcc,r,r,,0.5,
CMOVcc,r,m,,0.5,
xchg,,,,1,
xlat,,,,2,
push,,,,1,
pushhf,,,,1,
pusha,,,,8,
pushfd,,,,1,
pushfq,,,,1,
pushad,,,,8,
pop,r,,,0.5,
pop,sp,,,3,
pop,m,,,1,
popf,,,,20,
popa,,,,8,
popfd,,,,20,
popfq,,,,20,
popad,,,,8,
lahf,,,,1,
sahf,,,,1,
lea,,,,1,
bswap,,,,1,
movbe,r,m,,0.6,
movbe,m,r,,1,
prefetchnta,,,,0.5,
prefetchnta0,,,,0.5,
prefetchnta1,,,,0.5,
prefetchnta2,,,,0.5,
prefetchw,,,,1,
lfence,,,,4,
mfence,,,,33,
sfence,,,,6,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
add,r,r,,0.25,
sub,r,r,,0.25,
add,r,I,,0.25,
sub,r,I,,0.25,
add,r,m,,0.5,
sub,r,m,,0.5,
add,m,,,1,
sub,m,,,1,
adc,r,r,,1,
,,,,,
sbb,r,r,,1,
adc,r,I,,1,
sbb,r,I,,1,
adc,r,m,,1,
sbb,r,m,,1,
adc,m,,,2,
sbb,m,,,2,
cmp,r,,,0.25,
cmp,m,,,0.5,
inc,r,,,0.25,
dec,r,,,0.25,
neg,r,,,0.25,
not,r,,,0.25,
inc,m,,,1,
dec,m,,,1,
neg,m,,,1,
not,m,,,1,
aam,,,,7,
mul,,,,1,
imul,,,,1,
mulx,,,,1,
div,,,,35,
idiv,,,,45,
cbw,,,,1,
cwde,,,,1,
cdqe,,,,1,
cwde,,,,1,
cdq,,,,1,
cqo,,,,1,
popcnt,,,,1,
crc32,,,,1,
,,,,,
,,,,,
and,r,I,,0.25,
and,r,r,,0.25,
and,r,m,,0.5,
and,m,,,1,
or,r,I,,0.25,
or,r,r,,0.25,
or,r,m,,0.5,
or,m,,,1,
xor,r,I,,0.25,
xor,r,r,,0.25,
xor,r,m,,0.5,
xor,m,,,1,
test,r,,,0.25,
test,m,,,0.5,
shr,r,I,,0.5,
shr,m,I,,2,
shr,r,cl,,2,
shr,m,cl,,4,
shl,r,I,,0.5,
shl,m,I,,2,
