,index,BB,average_energy,occurences
0,1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.7316613559699648,14.0
1,2,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",0.24792934828202665,4.0
2,3,"('add $0x30, %rsp', 'popq  %rbp', 'retq')",0.13182009584454968,4.0
3,4,"('add $0x30, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.34170209811200397,16.0
4,5,"('add $0x38, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.7059386033035945,6.0
5,6,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.1164833770688247,3.0
6,7,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.1164833770688247,3.0
7,8,"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.36172408172272147,20.0
8,9,"('add $0x68, %rsp', 'popq  %rbp', 'popq  %r12', 'retq')",0.38966562431038015,4.0
9,10,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",0.7054944590229416,3.0
10,11,"('add $0x8, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.5490637336909581,6.0
11,12,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.2989313836389904,6.0
12,13,"('add $0x8, %rsp', 'mov %rbp, %rdi', 'xor %esi, %esi', 'popq  %rbx', 'popq  %rbp', 'jmp 0x1ccb')",0.28247018534112356,8.0
13,14,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x92558')",1.1678753579210894,4.0
14,15,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.6870389233914019,9.0
15,16,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.1012671235271918,9.0
16,17,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.6729964377813283,9.0
17,18,"('add $0xd8, %rsp', 'retq')",0.42137152869746786,14.0
18,19,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.6070324210334743,16.0
19,20,"('add %r14, %rbx', 'mov %rbx, %rax', 'or $0x1, %rax', 'movq  %rax, 0x8(%r12)', 'movq  %r12, 0x60(%rbp)', 'jmp 0xfffffffffffffc8c')",0.6384138002331086,9.0
20,21,"('add %r15, %rdi', 'mov %r14, %rdx', 'mov %r8, %rsi', 'callq  0xfffffffffffe85e8', 'jmpq  0xc1ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'cmp $0x20, %rdx', 'jb 0x4b')",0.8076601499189429,4.0
21,22,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.11908136861691543,8.0
22,23,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.10206978074407175,8.0
23,24,"('add %rbx, %rdi', 'add %rbx, %r14', 'movq  %rdi, 0x28(%r12)', 'jmp 0xfffffffffffffef4')",0.26364019168909936,4.0
24,25,"('add %rdi, %rax', 'vzeroupper', 'retq')",0.27957361425051763,4.0
25,26,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.17011562522142756,8.0
26,27,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.17011562522142756,8.0
27,28,"('addq  %r14, 0x8(%rbx)', 'test %r13, %r13', 'jnz 0x11c')",0.27957361425051763,4.0
28,29,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.29350534546488316,4.0
29,30,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",1.095567046585914,14.0
30,31,"('and $0xf7, %dh', 'movq  %rax, 0x8(%rbx)', 'movl  %edx, (%rbx)', 'movq  %rax, 0x30(%rbx)', 'movq  %rax, 0x20(%rbx)', 'xor %eax, %eax', 'add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",0.9330874508589396,7.0
31,32,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",0.7752338148261284,16.0
32,33,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.41412296655939984,10.0
33,34,"('bsf %r8, %rax', 'add %rdi, %rax', 'cmpb  $0x0, (%rax)', 'jz 0x40')",0.43140673645811556,6.0
34,35,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc3755(%rip)', 'jnz 0x2d')",1.3475474368798332,4.0
35,36,"('callq  0x3451f', 'nop %edi, %edx', 'pushq  %r12', 'mov %esi, %r10d', 'mov %esi, %r12d', 'pushq  %rbp', 'mov %rdi, %rbp', 'sub $0x68, %rsp', 'movq  %rdx, 0x40(%rsp)', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x28(%rsp)', 'xor %eax, %eax', 'and $0x40, %r10d', 'jnz 0x5b')",1.5295335278213396,3.0
36,37,"('callq  0x35618', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",0.869342968457719,8.0
37,38,"('callq  0x4ef50', 'nop %edi, %edx', 'pushq  %r13', 'pushq  %r12', 'pushq  %rbp', 'movl  %fs:0x18, %ebp', 'xor %r12d, %r12d', 'test %ebp, %ebp', 'setnz %r12b', 'xor %edi, %edi', 'mov %r12d, %esi', 'callq  0x25251', 'nop %edi, %edx', 'pushq  %r12', 'pushq  %rbp', 'pushq  %rbx', 'mov %esi, %ebx', 'test %edi, %edi', 'jnz 0x74')",4.156342886998061,2.0
