,bb,energy
0,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.7458262647946629, 0.13076566723713062, 0.13076566723713062, 0.13076566723713062, 1.2118001150823368]"
1,"('add $0x18, %rsp', 'retq')","[0.6745675395658033, 1.1588476574920399, 0.44352196383220543, 0.2295347115287766, 0.2295347115287766, 0.2295347115287766, 0.5772482583530483, 0.5772482583530483, 0.5772482583530483, 0.5772482583530483, 0.5772482583530483, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.036323693590910144, 0.20157076289468975, 0.2913597932238567, 0.2913597932238567, 0.2913597932238567, 0.2913597932238567, 0.2913597932238567, 0.2913597932238567, 0.33661165739766863, 0.33661165739766863]"
2,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[1.8853122715638897, 0.14446342874113477, 0.14446342874113477, 0.14446342874113477]"
3,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')",[2.0567046328968384]
4,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.2118001150823368]
5,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.2118001150823368]
6,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.4039339888772024]
7,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.7458262647946629]
8,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb68')",[0.8751903092339385]
9,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.09444197364622049, 0.09444197364622049, 0.09444197364622049, 0.8751903092339385]"
