,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x1, %r9d', 'cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')","[0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966]"
2,"('add $0x10, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %rbp', 'retq')",[0.27270269841995887]
3,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.027126159936493293, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215, 0.4462417308719215]"
4,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",[0.4045917582638309]
5,"('add $0x20, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %rbp', 'retq')",[0.27270269841995887]
6,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.4462417308719215]
7,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.4462417308719215]
8,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.14874724362397385]
9,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.027126159936493293]
10,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x919f8')",[0.3222851129612835]
11,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.3222851129612835, 0.3222851129612835]"
12,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.027126159936493293]
13,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",[0.016576710034083803]
14,"('add $0xd8, %rsp', 'retq')","[0.0075346567219193705, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.01579277075798413, 0.09748645463841803, 0.03771748196640959, 0.08043752005522968, 0.08750809403061527, 0.10714379560200195, 0.11534724324937724, 0.08114236753492761, 0.057165922078668586, 0.10743806360920255, 0.08777793663010358, 0.19841689176427096, 0.17504061346894284, 0.07772164734055205, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505, 0.12395545479598505]"
15,"('add %ecx, %ebx', 'movl  %ecx, -0x4f0(%rbp)', 'sub %ebx, %r10d', 'mov %r10d, %ebx', 'jmp 0xfffffffffffff8aa')","[0.3718675275026081, 0.3718675275026081]"
16,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')","[0.016576710034083803, 0.016576710034083803, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.034743397798773314, 0.21447136331917263, 0.21447136331917263, 0.21447136331917263, 0.08297892557196229, 0.08297892557196229, 0.08297892557196229, 0.1769632419902971, 0.1769632419902971, 0.1769632419902971, 0.19251641112977003, 0.19251641112977003, 0.19251641112977003, 0.23571797868491842, 0.23571797868491842, 0.23571797868491842, 0.25376253941104643, 0.25376253941104643, 0.25376253941104643, 0.17851367382270192, 0.17851367382270192, 0.17851367382270192, 0.12576409808134853, 0.12576409808134853, 0.12576409808134853, 0.23636467043196802, 0.23636467043196802, 0.23636467043196802, 0.19311076271743613, 0.19311076271743613, 0.19311076271743613, 0.4365169292584655, 0.4365169292584655, 0.4365169292584655, 0.38508981487753546, 0.38508981487753546, 0.38508981487753546, 0.1709883220180063, 0.1709883220180063, 0.1709883220180063, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887, 0.27270269841995887]"
17,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')","[0.010549449902409492, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.022109646438247192, 0.13648219960843821, 0.052805405244695805, 0.11261276070025215, 0.12251086639700019, 0.15000224433452508, 0.16148567530326696, 0.11359908192596806, 0.08003159304134425, 0.15041398692167535, 0.12288887865921443, 0.27778318322411816, 0.24505778934824235, 0.10881053889970345, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966, 0.17353786933730966]"
