bb,Unnamed: 0
"('add $0x1, %esi', 'cmp $0x270f, %esi', 'jnle 0xf')",1.0
"('add $0x1, %esi', 'movl  %esi, (%rax)', 'cmpl  %esi, -0xc0(%rbp)', 'jz 0x1d3')",1.0
"('add $0x1, %r10', 'mov %rbx, %rdx', 'movsxb  0x1(%rdx), %rbp', 'lea 0x1(%rdx), %rbx', 'jmp 0xfffffffffffffe6c')",0.0
"('add $0x1, %r15', 'movq  0x28(%r12), %rax', 'movzxb  -0x1(%r15), %esi', 'cmpq  0x30(%r12), %rax', 'jb 0xffffffffffffffca')",1.6
"('add $0x1, %r9d', 'cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')",1.0
"('add $0x1, %rax', 'cmp %rax, %rdi', 'jz 0x14c')",2.0
"('add $0x1, %rbx', 'cmpq  %rbx, 0x96b5b(%rip)', 'jnbe 0xffffffffffffffd4')",3.0
"('add $0x10, %rdx', 'add %eax, %eax', 'jz 0x43a')",4.0
"('add $0x10, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %rbp', 'retq')",2.3333333333333335
"('add $0x128, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",5.0
"('add $0x158, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.0
"('add $0x17, %r15', 'mov %rsp, %rdx', 'mov %r15, %rax', 'and $0xfffffffffffff000, %r15', 'sub %r15, %rdx', 'and $0xfffffffffffffff0, %rax', 'cmp %rdx, %rsp', 'jz 0x17')",2.8
"('add $0x17, %rax', 'mov %rsp, %rsi', 'mov %rax, %rdx', 'and $0xfffffffffffff000, %rax', 'sub %rax, %rsi', 'and $0xfffffffffffffff0, %rdx', 'mov %rsi, %rax', 'cmp %rax, %rsp', 'jz 0x17')",3.8
"('add $0x18, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",4.0
"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.2916666666666665
"('add $0x18, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",4.0
"('add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",7.0
"('add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",2.0
"('add $0x18, %rsp', 'retq')",4.5
"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",2.875
"('add $0x2, %r13', 'movzxw  -0x2(%r13), %ebp', 'mov %rax, %r14', 'lea -0x2(%rax), %r15', 'test %r12, %r12', 'jnz 0x15')",9.0
"('add $0x20, %rdi', 'and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'jmp 0x4f')",6.0
"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",3.6923076923076925
"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')",4.8
"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x92')",10.0
"('add $0x20, %rsp', 'popq  %rbx', 'popq  %r12', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",7.0
"('add $0x20, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %rbp', 'retq')",5.0
"('add $0x20, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",11.0
