,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.08354262637543944, 0.240811718444019, 0.445467653028297, 0.19516412335095737, 0.19378839210321366, 0.027377541414173544, 0.9916806928297538, 0.13132847991139096, 1.8730274947984258, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554, 1.1380026850052554]"
2,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.14716285282247657, 0.1767361788082268, 0.09436365836948041, 0.07684266832370545, 0.053512763240749356, 0.2708795243444387, 0.08025629327918336, 0.012661868112018299, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729, 0.6954456092964729]"
3,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')","[0.07574477603791711, 0.26221266227569034, 0.14000146178106343, 0.11400699537574255, 0.07939340134888148, 2.3586704169334305, 0.11907051866036503, 0.01878534091669955, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958, 1.0317886441262958]"
4,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')",[0.758668048683442]
5,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.1380026850052554]
6,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.1380026850052554]
7,"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[1.9487661510354188, 12.37945765877262, 11.48079671602941, 11.48079671602941, 12.37945765877262, 2.0403734510686724, 0.12403245324964701, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864, 1.0747802456182864]"
8,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.37933463632181336]
9,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.08354262637543944]
