,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923, 1.766036527126923]"
2,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.766036527126923]
3,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.766036527126923]
4,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.5886791758563613]
5,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.766036527126923]
6,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x919f8')",[1.275470713986982]
7,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982]"
8,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.766036527126923]
9,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",[1.0792449889963023]
10,"('add $0xd8, %rsp', 'retq')","[0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409, 0.4905658131399409]"
11,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')","[1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023, 1.0792449889963023]"
12,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')","[1.8955457657357337, 1.8955457657357337, 1.8955457657357337]"
13,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')","[1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982, 1.275470713986982]"
14,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",[1.4716974394198228]
15,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",[0.6867915381306208]
16,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc2695(%rip)', 'jnz 0x2d')",[1.4716974394198228]
17,"('callq  0x35458', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')","[1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822, 1.5698098016940822]"
18,"('callq  0xfffffffffffffe3b', 'pushq  %rbp', 'mov %rsp, %rbp')",[1.275470713986982]
