,bb,energy
0,(),[0.0]
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[1.0103491759298777, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 0.009886926177642115, 1.859191032464222, 1.859191032464222, 2.1934338892891714, 2.1934338892891714, 1.0202850742239749, 1.0202850742239749, 1.1870378514264688, 1.1870378514264688, 0.12608415515973267, 0.12608415515973267, 0.12608415515973267, 0.12608415515973267, 1.5507183915871607, 1.5507183915871607, 0.19297462489102302, 0.19297462489102302, 0.19297462489102302, 0.19297462489102302, 0.20234734384588735, 0.20234734384588735, 0.20234734384588735, 0.20234734384588735, 4.2495309193265, 4.2495309193265, 3.2388062905038004, 3.2388062905038004, 0.9614641210152179, 0.9614641210152179, 0.9614641210152179, 0.9614641210152179, 0.5206116873408171, 0.5206116873408171, 0.5291573216622188, 0.5291573216622188, 2.9571975761754565, 2.9571975761754565, 1.519583008214311, 1.519583008214311, 1.0335075456668315, 1.0335075456668315, 2.105382023903038, 2.105382023903038, 2.105382023903038, 2.105382023903038, 2.1989106043127253, 2.1989106043127253, 0.20355532271844462, 0.20355532271844462, 1.8646704681609119, 1.8646704681609119, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 0.010450105516874893, 2.845089518917361, 2.845089518917361, 3.8582056194269474, 3.8582056194269474, 2.858565012961902, 2.858565012961902, 2.5187828656312616, 2.5187828656312616, 0.38898824167539386, 0.38898824167539386, 2.1934338892891714, 2.1934338892891714, 5.521840108193712, 5.521840108193712, 0.20112032026137536, 0.20112032026137536, 3.864645452740783, 3.864645452740783, 1.8807741324552056, 1.8807741324552056, 1.35322744928973, 1.35322744928973, 3.193950552504135, 3.193950552504135, 1.1463665087105712]"
2,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[3.1894940899067277, 0.20577539199773906, 0.5079143058132838, 1.0406737987080834, 0.5862179993517311, 0.6860476587452982, 0.42784761608245564, 0.5417268315523417, 0.06396574610967082, 2.2383249960396108, 0.3883488834883422, 0.5983957323102139, 1.0953838148077546, 0.37534678656953324, 0.4798369590457366, 1.1794090839520306, 0.8401084957665315, 0.5413214512550195, 1.6440293181459364, 0.7034817322032867, 0.48980006407119764, 0.5819955146440535, 0.11572927320263143, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712, 0.006042615035922712]"
3,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')","[0.9160506450225921, 1.0393733169488888]"
4,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')","[2.441809581256509, 0.00659219100947354, 0.00659219100947354, 0.00659219100947354, 0.00659219100947354]"
5,"('add $0x28, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[2.0852136739429774, 2.1870811175157003, 0.8311302744164438, 0.9592658171210148, 1.1226231942492937, 0.700116259533572, 0.700116259533572, 0.886460603991212, 0.10466973690320512]"
6,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.1463665087105712]
7,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.1463665087105712]
8,"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.0826809919339486]
9,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.3821212626791449]
