,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x1, %r9d', 'cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')","[0.11921184639733329, 0.10938529831193002, 0.09721936962828205, 0.04143635069470765, 0.06629126367487895, 0.06738795610275385, 4.2534192695358106e-05, 0.06859500751708159, 0.05359078365060012, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353, 0.39585653483349353]"
2,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.3065450763282215, 0.3065450763282215, 0.2812763171488521, 0.24999299320780397, 0.10654930227464762, 0.12721402248793837, 0.17046209987691316, 1.5937297601212306, 0.17328430104088896, 0.00010920941367727083, 0.00010920941367727083, 0.00010920941367727083, 0.00010920941367727083, 0.00010920941367727083, 0.00010920941367727083, 0.17638699796209897, 0.13780503646908251, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791, 1.0179156542847791]"
3,"('add $0x18, %rsp', 'retq')","[1.585136703623993, 2.066131747787511, 0.7255379128424386, 2.0768089797268217, 0.21803027175640566, 0.21803027175640566, 0.02889106299512811, 2.066131747787511, 0.8530071404865492, 0.8530071404865492, 0.10830240075736171, 0.10830240075736171, 0.3627304457332384, 0.9936573695751185, 0.32336102688897006, 0.32336102688897006, 1.2617756767350228, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 2.98888921643057e-05, 0.04267559014675079, 0.04267559014675079, 0.41387263937191654, 0.41387263937191654, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097, 0.2827546677382097]"
4,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.0179156542847791]
5,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.0179156542847791]
6,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.3393056012858516]
7,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.3065450763282215]
8,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x92168')",[0.7351609865465696]
9,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.2213939216976656, 0.2031444538858059, 0.1805507505551419, 0.07695240159533168, 0.09187615536752462, 0.12311119725199962, 1.1510269851112902, 0.12514938978305018, 7.932052151296512e-05, 7.932052151296512e-05, 7.932052151296512e-05, 7.932052151296512e-05, 7.932052151296512e-05, 7.932052151296512e-05, 0.1273910566953731, 0.09952656218881133, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696, 0.7351609865465696]"
