,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.03180593009586781, 0.003979834619038164, 0.003979834619038164, 0.017364566406927896, 0.01641927381776524, 0.01641927381776524, 0.22667155713665033, 0.004627130814619522, 0.004627130814619522, 0.08729438676733957, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793]"
2,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.07403845928143736, 0.08921335255457738, 0.04662060794819528, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113, 0.35887170813674113]"
3,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')","[0.028837973340748564, 0.07969820763571954, 0.20551599631614054, 0.15668060931088865, 0.07914696888568822, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451, 0.5324344135030451]"
4,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')","[0.09732365733226625, 0.3914963096435466, 0.3914963096435466, 0.3914963096435466, 0.3914963096435466, 0.3914963096435466, 0.3914963096435466]"
5,"('add $0x28, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.003979834619038164, 0.003979834619038164, 0.01641927381776524, 0.01641927381776524, 0.01641927381776524, 0.004627130814619522, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793]"
6,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.5872439186843793]
7,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.5872439186843793]
8,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.19574760904083266]
9,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.03180593009586781, 0.003979834619038164, 0.01641927381776524, 0.004627130814619522, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793, 0.5872439186843793]"
