,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x1, %esi', 'movl  %esi, (%rax)', 'cmpl  %esi, -0xc0(%rbp)', 'jz 0x1d3')",[0.516779630863127]
2,"('add $0x1, %r15', 'movq  0x28(%r12), %rax', 'movzxb  -0x1(%r15), %esi', 'cmpq  0x30(%r12), %rax', 'jb 0xffffffffffffffca')","[0.5637593490413527, 0.5637593490413527, 0.5637593490413527, 0.5637593490413527, 0.5637593490413527, 0.5637593490413527]"
3,"('add $0x17, %r15', 'mov %rsp, %rdx', 'mov %r15, %rax', 'and $0xfffffffffffff000, %r15', 'sub %r15, %rdx', 'and $0xfffffffffffffff0, %rax', 'cmp %rdx, %rsp', 'jz 0x17')",[0.516779630863127]
4,"('add $0x17, %rax', 'mov %rsp, %rsi', 'mov %rax, %rdx', 'and $0xfffffffffffff000, %rax', 'sub %rax, %rsi', 'and $0xfffffffffffffff0, %rdx', 'mov %rsi, %rax', 'cmp %rax, %rsp', 'jz 0x17')",[0.5637593490413527]
5,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.8456403890133508, 0.8456403890133508]"
6,"('add $0x18, %rsp', 'retq')","[0.0913405007212182, 0.19899951018939846, 0.47690845226624873, 0.4743946563827948, 0.6807908163824429, 0.3309239550974801, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.010836221689891287, 0.09343919940284157, 0.19575929420274119, 0.13222484419888011, 0.13222484419888011, 0.6235319806536248, 0.7775917569395828, 0.00016385415861730774, 0.00016385415861730774, 0.00016385415861730774, 0.00016385415861730774, 0.00016385415861730774, 0.00016385415861730774, 0.012346410851814139, 0.22119355597411278, 0.47690845226624873, 0.04323155429985484, 0.27997896628071556, 0.075853551829239, 0.075853551829239, 0.3093320733456844, 0.6807908163824429, 0.17938480195158488, 0.4040766442121772, 0.3944966377383519, 0.27366511936866195, 0.1953974496024613, 0.45175547346717015, 0.10280619547046431, 0.4196728292099013, 0.006743964078424024, 0.006743964078424024, 0.14459856407713048, 0.01567811207703273, 0.2231625367801641, 0.09385839295863749, 0.04805296291716912]"
7,"('add $0x20, %rsp', 'popq  %rbx', 'popq  %r12', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",[0.10047263916148948]
8,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.8456403890133508]
9,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.8456403890133508]
