,bb,energy
0,"('add $0x1, %r10', 'mov %rbx, %rdx', 'movsxb  0x1(%rdx), %rbp', 'lea 0x1(%rdx), %rbx', 'jmp 0xfffffffffffffe6c')","[0.27174238549467133, 0.27174238549467133, 0.27174238549467133, 0.3057194107825862, 0.19374640983479283, 0.29754561877891733, 0.23201474690233442, 0.23201474690233442, 6.104082253521359e-05, 6.104082253521359e-05, 0.28450133695854346, 0.28450133695854346, 0.2416932661591969, 0.2834281541251336, 0.2834281541251336, 0.24214326478114254, 0.24214326478114254, 0.23113888207665473, 0.23113888207665473, 0.1805360401949627, 0.1805360401949627, 0.24214326478114254, 0.24214326478114254, 0.1805360401949627, 0.1805360401949627, 0.17969282511156925, 0.17969282511156925, 0.1805360401949627, 0.1805360401949627, 0.14398820259050663, 0.23110907144239334, 0.23110907144239334, 0.34535761747213894, 0.34535761747213894, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436, 0.5911803662535436]"
1,"('add $0x1, %r15', 'movq  0x28(%r12), %rax', 'movzxb  -0x1(%r15), %esi', 'cmpq  0x30(%r12), %rax', 'jb 0xffffffffffffffca')","[0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546, 0.4433849198016546]"
2,"('add $0x17, %r15', 'mov %rsp, %rdx', 'mov %r15, %rax', 'and $0xfffffffffffff000, %r15', 'sub %r15, %rdx', 'and $0xfffffffffffffff0, %rax', 'cmp %rdx, %rsp', 'jz 0x17')",[0.40643676796568856]
3,"('add $0x17, %rax', 'mov %rsp, %rsi', 'mov %rax, %rdx', 'and $0xfffffffffffff000, %rax', 'sub %rax, %rsi', 'and $0xfffffffffffffff0, %rdx', 'mov %rsi, %rax', 'cmp %rax, %rsp', 'jz 0x17')",[0.4433849198016546]
4,"('add $0x18, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.12784929302299866]
5,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.20477492495749225, 0.6650766699254758, 0.6650766699254758]"
6,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.5109102650657253, 0.18682324491608968, 0.21018200619090222, 0.13320101164992318, 0.20456199185562524, 0.15950960616260024, 4.1167066360958e-05, 0.1955946691589986, 0.16616447537295098, 0.19485650107252625, 0.1664739381476644, 0.1589077152613228, 0.12411870507828839, 0.07813083329106095, 0.1664739381476644, 0.12411870507828839, 0.12353810748719764, 0.12411870507828839, 0.09899259905797954, 0.15888784150514854, 0.23743318456784396, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856]"
7,"('add $0x20, %rdi', 'and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'jmp 0x4f')","[0.12513936441323764, 1.0442338684339736, 0.07615197499771008, 0.13320101164992318, 0.24853267739116572, 0.1590170209202812, 4.1167066360958e-05, 0.15803894820570533, 0.6324382840712982, 0.6324382840712982, 0.12104253153331611, 0.11423718959764602, 0.33563509204089065, 0.07813083329106095, 0.0738125499851977, 0.15645898458985202, 0.291574974602566, 0.6222231733977309, 0.02998240029688945, 0.06687093086433273, 0.23743318456784396, 0.5772531218374278, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856, 0.40643676796568856]"
8,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",[0.6030038316232132]
9,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')",[0.173331803581795]
