,bb,energy
0,(),[0.0]
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.28371838963651036, 0.5957875591615456, 0.6439006787349908, 0.6439006787349908, 0.6426852038554295, 0.6426852038554295, 0.13201293268184647, 0.13201293268184647, 0.2792559258366896, 0.2792559258366896, 0.2792559258366896, 0.2792559258366896, 0.7203714452866758, 0.7203714452866758, 0.4216530426826226, 0.4216530426826226, 0.4216530426826226, 0.4216530426826226, 0.7258868628428021, 0.7258868628428021, 0.7009742058716051, 0.7009742058716051, 0.6682365001701249, 0.6682365001701249, 0.04893831485420198, 0.04893831485420198, 0.04997753443107738, 0.04997753443107738, 0.9947437258210227, 0.9947437258210227, 0.7412966121633423, 0.7412966121633423, 0.889407147652185, 0.889407147652185, 0.19454922968677166, 0.19454922968677166, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312, 1.4170525755714312]"
2,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",[0.6786298404538315]
3,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",[0.540181300194044]
4,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.4170525755714312]
5,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[1.4170525755714312]
6,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.47235047701882626]
7,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.28371838963651036]
8,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb68')",[1.023427559560727]
9,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')","[0.4302918415441375, 0.4650393155022182, 0.46416147253364615, 0.09534267360355579, 0.20168528041564626, 0.20168528041564626, 0.5202678845353929, 0.30452796050297354, 0.30452796050297354, 0.5242519410850661, 0.50625902151672, 0.48261563162785215, 0.035344910763288793, 0.03609456805718019, 0.7184257698674159, 0.5353812044832339, 0.6423498609743452, 0.14050752265934563, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727, 1.023427559560727]"
