,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x1, %r9d', 'cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')","[0.02145031580505571, 0.03686313470919789, 0.1577749720857054, 0.1577749720857054]"
2,"('add $0x10, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %rbp', 'retq')","[0.1837673890234087, 0.24793132804249784]"
3,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.09682121287087352, 0.07789113040903713, 0.07822167493210391, 0.07789113040903713, 0.1716308588281371, 0.14600623790320957, 0.06814209072054525, 0.18778166897357532, 0.12317842839182254, 0.10466118929348996, 0.08886790689749133, 0.10750791967582014, 0.18363029959612037, 0.0015704237748968394, 0.10076616056657658, 0.04504444894543022, 0.08886790689749133, 0.051315350754468456, 0.051315350754468456, 0.051315350754468456, 0.051315350754468456, 0.055159111351273514, 0.18778166897357532, 0.1716308588281371, 0.0018658901036789765, 0.18804610459202875, 0.0458350574781532, 0.013588752801341034, 0.0451146053339995, 0.08676726272436901, 0.08676726272436901, 0.08676726272436901, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.01119399146075522, 0.08245264482735863, 0.08119522647838624, 0.08119522647838624, 0.0265393522989654, 0.0265393522989654, 0.0016055019691814767, 0.09087680810094613, 0.11368707851519087, 0.09479207424763912, 0.08792754145839932, 0.004707223840734598, 0.004707223840734598, 0.03988660522426989, 0.00782108816415548, 0.04148671054817681, 0.031106263362561448, 0.031106263362561448, 0.04362648039953968, 0.04362648039953968, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032, 0.4057063001282032]"
4,"('add $0x18, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')","[0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127, 0.2930108551822127]"
5,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",[0.36784073855925586]
6,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.4057063001282032]
7,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.4057063001282032]
8,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.1352358830965073]
9,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.09682121287087352]
