,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.08430709386782939, 0.08430709386782939, 0.22035818388467043, 0.11537608718874251, 0.1866614963380458, 0.26854781103271963, 0.44861595287398004, 0.28826059539555765, 0.196323032933162, 0.19613262030811046, 0.40507620202968997, 0.2099629239743555, 0.21174772497983885, 0.2627567283961515, 0.21609167166601512, 0.20933963998168675, 0.05386519279208607, 0.04924578250833519, 0.22657198254885308, 0.049297828625849284, 0.049297828625849284, 0.017558582864754663, 0.017558582864754663, 0.19518690427035437, 0.0015182233304111173, 0.0015182233304111173, 0.0015182233304111173, 0.0015182233304111173, 0.0015182233304111173, 0.13555728660920735, 0.0009279441927512765, 0.20107954030695, 0.012642128885923342, 0.06345056433718167, 0.08433755988783763, 0.29845274850581754, 0.0459173698224339, 0.07875846997382688, 0.30220768547183435, 0.11420441483592524, 0.26854781103271963, 0.09623961837106058, 0.11420441483592524, 0.009967466212699073, 0.009967466212699073, 0.19137611293432244, 0.0077142501495889295, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455, 0.4425798726598455]"
2,"('add $0x18, %rsp', 'retq')","[0.5629219211099327, 1.0228585392519782, 1.0228585392519782, 0.743152548391237, 0.17914273648350978, 0.2674891168374329, 0.221198538269898, 0.7441426940415051, 0.05448086027975278, 0.2674891168374329, 0.3035811952072063, 0.2674891168374329, 0.29964346212114, 0.8649569658017203, 0.05814947685574621, 0.19949022959651966, 0.013679242983704182, 0.34065199446974465, 0.013694475993708306, 0.013694475993708306, 0.004877102036320663, 0.004877102036320663, 0.17102481156881155, 0.00042144661011412287, 0.00042144661011412287, 0.00042144661011412287, 0.00042144661011412287, 0.00042144661011412287, 0.03765473131269646, 0.00025769175256977993, 0.009903995337681886, 0.0035112088059507944, 0.017625861992272878, 0.023427099968843786, 0.023427099968843786, 0.012755107043453935, 0.021877141200924075, 0.08394657929773175, 0.2768053718724557, 0.2762290563272996, 0.02673393255723924, 0.7750022334748616, 0.2762290563272996, 0.002768599568249705, 0.6495431630808888, 0.6611596026265344, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053]"
3,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.4425798726598455]
4,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.4425798726598455]
5,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",[0.1475266242199485]
6,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",[0.08430709386782939]
7,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x92168')",[0.319640596004055]
8,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",[0.319640596004055]
9,"('add $0x8, %rsp', 'retq')","[0.5629219211099327, 1.0228585392519782, 1.0228585392519782, 0.743152548391237, 0.17914273648350978, 0.2674891168374329, 0.221198538269898, 0.7441426940415051, 0.05448086027975278, 0.2674891168374329, 0.3035811952072063, 0.2674891168374329, 0.29964346212114, 0.8649569658017203, 0.05814947685574621, 0.19949022959651966, 0.013679242983704182, 0.34065199446974465, 0.013694475993708306, 0.013694475993708306, 0.004877102036320663, 0.004877102036320663, 0.17102481156881155, 0.00042144661011412287, 0.00042144661011412287, 0.00042144661011412287, 0.00042144661011412287, 0.00042144661011412287, 0.03765473131269646, 0.00025769175256977993, 0.009903995337681886, 0.0035112088059507944, 0.017625861992272878, 0.023427099968843786, 0.023427099968843786, 0.012755107043453935, 0.021877141200924075, 0.08394657929773175, 0.2768053718724557, 0.2762290563272996, 0.02673393255723924, 0.7750022334748616, 0.2762290563272996, 0.002768599568249705, 0.6495431630808888, 0.6611596026265344, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053, 0.12293927665579053]"
