,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x1, %esi', 'cmp $0x270f, %esi', 'jnle 0xf')",[0.016677364772608463]
2,"('add $0x1, %rax', 'cmp %rax, %rdi', 'jz 0x14c')","[0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463]"
3,"('add $0x1, %rbx', 'cmpq  %rbx, 0x96b5b(%rip)', 'jnbe 0xffffffffffffffd4')","[0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731, 0.01945847995837731]"
4,"('add $0x10, %rdx', 'add %eax, %eax', 'jz 0x43a')","[0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463, 0.016677364772608463]"
5,"('add $0x128, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.04725470966885839, 0.29013876922600396, 0.954172454684436, 3.816016456845013, 0.05157467128538464, 1.4801818742801336, 0.11822630705539003, 0.11822630705539003, 0.9750989008743358, 1.8535657069707103, 1.6372785095422553, 0.21824013344421606, 0.7340297474712836, 0.7601472356209383, 0.10126728675424294, 0.10126728675424294, 1.227715930947472, 1.227715930947472, 1.227715930947472, 1.227715930947472]"
6,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.05003395958622631, 0.05003395958622631, 1.879254183388154, 1.0423194435066212, 0.5325527811461181, 1.0722122348997343, 0.5300197466576715, 0.39653740935117254, 0.39653740935117254, 0.05460759770527742, 0.05460759770527742, 0.5760396486451221, 0.5760396486451221, 0.12518189292241355, 0.12518189292241355, 0.04841677188263035, 0.04841677188263035, 0.13086350047160997, 0.13086350047160997, 0.04528871677429074, 0.6552389449481033, 0.2310769105793342, 0.2310769105793342, 0.2310769105793342, 1.7566892620322283, 0.8048614497277464, 0.8048614497277464, 0.8048614497277464, 0.8048614497277464, 0.10722308875837434, 0.10722308875837434, 0.10722308875837434, 0.10722308875837434, 1.2999335276258168, 1.2999335276258168, 1.2999335276258168, 1.2999335276258168, 1.2999335276258168, 1.2999335276258168, 1.2999335276258168, 1.2999335276258168]"
7,"('add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.04725470966885839, 0.29013876922600396, 0.954172454684436, 3.816016456845013, 0.05157467128538464, 1.4801818742801336, 0.11822630705539003, 0.11822630705539003, 0.9750989008743358, 1.8535657069707103, 1.6372785095422553, 0.21824013344421606, 0.7340297474712836, 0.7601472356209383, 0.10126728675424294, 0.10126728675424294, 1.227715930947472, 1.227715930947472, 1.227715930947472, 1.227715930947472]"
8,"('add $0x18, %rsp', 'retq')","[0.013898114855240541, 0.013898114855240541, 0.013898114855240541, 0.0853341640736008, 0.2806389572601283, 1.1223581105900156, 0.015168362636265748, 0.4353480489690748, 0.03477233352991466, 0.03477233352991466, 0.28679434298315787, 0.5451657260731262, 0.48155261252821635, 0.06418761621239263, 0.2158917605274602, 0.2235729358024408, 0.029784605825859744, 0.029784605825859744, 0.3610935791969274, 0.3610935791969274, 0.3610935791969274, 0.3610935791969274]"
9,"('add $0x2, %r13', 'movzxw  -0x2(%r13), %ebp', 'mov %rax, %r14', 'lea -0x2(%rax), %r15', 'test %r12, %r12', 'jnz 0x15')","[0.03613584473098578, 0.22186994575240263, 0.7296612888763335, 2.918130341426681, 0.039439235069011674, 1.1319045542659145, 0.09040955939249887, 0.09040955939249887, 0.7456634264878096, 1.417432380004849, 1.252035300358642, 0.16688929436694158, 0.5613170851566758, 0.5812885139253057, 0.0774384829325146, 0.0774384829325146, 0.9388418136972905, 0.9388418136972905, 0.9388418136972905, 0.9388418136972905]"
