,bb,energy
0,(),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[2.731594812988219, 3.70613254309618, 0.7374660870430403, 0.9995172967965612, 0.9995172967965612, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134, 0.11878121631766134]"
2,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')","[0.6686358918782755, 0.1076938337499437, 0.1076938337499437, 0.1076938337499437]"
3,"('add $0x30, %rsp', 'popq  %rbp', 'retq')","[0.3887012836462225, 0.04619303324399208, 0.04619303324399208, 0.04619303324399208]"
4,"('add $0x30, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')","[0.6108160131503387, 0.6108160131503387, 0.6108160131503387, 0.6108160131503387, 0.6108160131503387, 0.6108160131503387, 0.6108160131503387, 0.6108160131503387, 0.07258818307366924, 0.07258818307366924, 0.07258818307366924, 0.07258818307366924, 0.07258818307366924, 0.07258818307366924, 0.07258818307366924, 0.07258818307366924]"
5,"('add $0x38, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.9995172967965612, 0.9995172967965612, 0.9995172967965612, 0.9995172967965612, 0.11878121631766134, 0.11878121631766134]"
6,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.11878121631766134, 0.11878121631766134, 6.111887698571151]"
7,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.11878121631766134, 0.11878121631766134, 6.111887698571151]"
8,"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')","[0.9439891214345513, 0.9439891214345513, 0.9439891214345513, 0.9439891214345513, 0.9439891214345513, 0.9439891214345513, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303, 0.11218192184622303]"
9,"('add $0x68, %rsp', 'popq  %rbp', 'popq  %r12', 'retq')","[0.4997576343702426, 0.4997576343702426, 0.4997576343702426, 0.059389594130792644]"
