,index,BB,average_energy,occurences
0,1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.8494390924913682,21.0
1,2,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.46288815594289767,20.0
2,3,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",0.777467465142267,20.0
3,4,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x72')",0.758668048683442,1.0
4,5,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.1380026850052554,1.0
5,6,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.1380026850052554,1.0
6,7,"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",3.2902911998997766,20.0
7,8,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",0.37933463632181336,1.0
8,9,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.08354262637543944,1.0
9,10,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb68')",0.8218904880704109,1.0
10,11,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.6411409438161416,20.0
11,12,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",0.3787265729019921,20.0
12,13,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.0097861238637829,2.0
13,14,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.05105382722943522,1.0
14,15,"('add $0xd8, %rsp', 'retq')",0.24239393177494276,40.0
15,16,"('add %ecx, %ebx', 'movl  %ecx, -0x4f0(%rbp)', 'sub %ebx, %r10d', 'mov %r10d, %ebx', 'jmp 0xfffffffffffff8aa')",0.9483353668443486,1.0
16,17,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.5440472964804923,79.0
17,18,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.34522941415771957,20.0
18,19,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.2959115296584221,20.0
19,20,"('add %rbx, %rax', 'movq  0x8(%rax), %r8', 'lea -0x10(%rax), %rcx', 'cmp %r8, %rcx', 'jz 0x374')",1.505800272624905,1.0
20,21,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.49318520958593537,20.0
21,22,"('addl  $0x1, -0x654(%rbp)', 'jmp 0xffffffffffffef98')",0.5049689474633505,20.0
22,23,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.49318520958593537,20.0
23,24,"('and $0x1, %esi', 'test %ebx, %ebx', 'jz 0x1615')",0.25248493271674455,20.0
24,25,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.9366093386896477,40.0
25,26,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1d')",0.43971548523604864,11.0
26,27,"('and $0x8000, %eax', 'jz 0x480')",0.21040395760226405,20.0
27,28,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",0.630223586155555,40.0
28,29,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",0.0696188553128662,1.0
29,30,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.03248879914600423,1.0
30,31,"('andl  $0xffffffef, (%rbx)', 'add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",0.5470498001818126,20.0
31,32,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe1675(%rip)', 'jnz 0x2d')",0.9483353668443486,1.0
32,33,"('callq  0x356a8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",0.7890967392443574,20.0
33,34,"('callq  0x5d2bd', 'nop %edi, %edx', 'mov $0xffffffffffffffb0, %rax', 'movq  %fs:(%rax), %r8', 'jmp 0x31')",0.9257763118857953,20.0
34,35,"('callq  0xfffffffffffffdf6', 'pushq  %rbp', 'mov %rsp, %rbp')",0.8218904880704109,1.0
35,36,"('callq  0xfffffffffffffed8', 'pushq  %rbp', 'mov %rsp, %rbp')",0.6715010302448997,1.0
36,37,"('cmp $0x1, %dl', 'jnbe 0x3d')",0.23886854565503265,36.0
37,38,"('cmp $0x1, %edi', 'jz 0x10')",0.5377860739289342,1.0
38,39,"('cmp $0x1, %edx', 'jz 0x185')",0.21040395760226405,20.0
39,40,"('cmp $0x10, %dl', 'jnb 0x19')",0.24729452426853135,79.0
40,41,"('cmp $0x1f, %rbx', 'jbe 0x2a4')",0.9677329938435072,20.0
41,42,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",0.3161121969348445,1.0
42,43,"('cmp $0x20, %rdx', 'jb 0x4b')",0.24729452426853135,79.0
43,44,"('cmp $0x24, %edx', 'jnbe 0x17c')",0.21040395760226405,20.0
44,45,"('cmp $0x2d, %cl', 'jz 0x282')",0.25248493271674455,20.0
45,46,"('cmp $0x2f, %eax', 'jnbe 0x7b4')",0.24659291078301387,20.0
46,47,"('cmp $0x30, %cl', 'jz 0x218')",0.25248493271674455,20.0
47,48,"('cmp $0x30, %r15d', 'jnz 0xe1')",0.21040395760226405,20.0
48,49,"('cmp $0x3ff, %r13', 'jbe 0x25')",0.28049617951661143,2.0
49,50,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",0.023206285104288734,1.0
50,51,"('cmp $0x4, %dl', 'jnb 0x35')",0.24659291078301387,40.0
51,52,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",0.3161121969348445,1.0
52,53,"('cmp $0x53, %r12b', 'jnbe 0x1d52')",0.21040395760226405,20.0
53,54,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",0.24239393177494276,40.0
54,55,"('cmp $0x8, %dl', 'jnb 0x29')",0.24659291078301387,40.0
55,56,"('cmp $0xa, %ebx', 'jz 0xa3')",0.023206285104288724,29.0
