,index,BB,average_energy,occurences
0,1,"('add $0x1, %esi', 'cmp $0x270f, %esi', 'jnle 0xf')",0.016677364772608463,1.0
1,2,"('add $0x1, %rax', 'cmp %rax, %rdi', 'jz 0x14c')",0.01667736477260846,138.0
2,3,"('add $0x1, %rbx', 'cmpq  %rbx, 0x96b5b(%rip)', 'jnbe 0xffffffffffffffd4')",0.019458479958377305,10.0
3,4,"('add $0x10, %rdx', 'add %eax, %eax', 'jz 0x43a')",0.016677364772608463,5.0
4,5,"('add $0x128, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.9083775040661362,20.0
5,6,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.6101944873456304,41.0
6,7,"('add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.9083775040661362,20.0
7,8,"('add $0x18, %rsp', 'retq')",0.24414523535094812,22.0
8,9,"('add $0x2, %r13', 'movzxw  -0x2(%r13), %ebp', 'mov %rax, %r14', 'lea -0x2(%rax), %r15', 'test %r12, %r12', 'jnz 0x15')",0.6946415274930372,20.0
9,10,"('add $0x20, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0x92')",0.03335659481361785,1.0
10,11,"('add $0x20, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.5877735858381976,20.0
11,12,"('add $0x28, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.5999249700993983,60.0
12,13,"('add $0x30, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.030577344896249928,3.0
13,14,"('add $0x38, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.05003395958622631,1.0
14,15,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.2999335276258168,1.0
15,16,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.2999335276258168,1.0
16,17,"('add $0x48, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.8673716567138848,21.0
17,18,"('add $0x58, %rsp', 'retq')",0.013898114855240541,1.0
18,19,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",0.43331117587527235,1.0
19,20,"('add $0x8, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.9618111951032959,20.0
20,21,"('add $0x8, %rsp', 'mov %r12, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.0389150946483537,1.0
21,22,"('add $0x8, %rsp', 'mov %r12, %rdx', 'mov %rbp, %rsi', 'mov %rax, %rdi', 'popq  %rbp', 'popq  %r12', 'jmp 0xfffffffffffd7dbc')",0.8549433467118763,20.0
22,23,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.05003395958622631,17.0
23,24,"('add $0x8, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'retq')",0.027796229710481082,1.0
24,25,"('add $0x8, %rsp', 'mov %r8d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.0389150946483537,1.0
25,26,"('add $0x8, %rsp', 'mov %rbp, %rdi', 'xor %esi, %esi', 'popq  %rbx', 'popq  %rbp', 'jmp 0x1ccb')",0.04169620983412254,1.0
26,27,"('add $0x8, %rsp', 'popq  %rbp', 'popq  %r12', 'retq')",0.4809057374467779,20.0
27,28,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xb4438')",0.9388418136972905,1.0
28,29,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.4508102846419053,40.0
29,30,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.05003395958622632,10.0
30,31,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.030577344896249928,2.0
31,32,"('add $0xb8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.04725470966885839,2.0
32,33,"('add $0xd8, %rsp', 'retq')",0.17338858895139048,40.0
33,34,"('add %ebx, %r9d', 'jmp 0xfffffffffffff57f')",0.299962702664346,60.0
34,35,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.37986456744176633,339.0
35,36,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.24274407116365673,120.0
36,37,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.20806612021482848,120.0
37,38,"('add %rax, %r12', 'movq  0x18(%rsp), %rax', 'xorq  %fs:0x28, %rax', 'jnz 0x1b')",0.3666211466640147,60.0
38,39,"('add %rbp, %r12', 'mov %rbx, %rdx', 'mov %r13, %rdi', 'add %r14, %r12', 'mov %r12, %rsi', 'callq  0xfffffffffffaf75d', 'jmpq  0xe5ff2(%rip)', 'nop %edi, %edx', 'cmp $0x20, %rdx', 'jb 0x1a8')",1.178007159847464,124.0
39,40,"('add %rbx, %rax', 'movq  0x8(%rax), %r8', 'lea -0x10(%rax), %rcx', 'cmp %r8, %rcx', 'jz 0x374')",0.038915094648353694,7.0
40,41,"('add %rcx, %rax', 'movq  %rcx, 0x28(%rsp)', 'lea (%rax,%rdx,2), %rdx', 'movq  0x8(%rsp), %rax', 'add %rcx, %rax', 'add %r12, %rax', 'addq  0x10(%rsp), %rax', 'lea (%rax,%rdx,8), %r15', 'mov %r15, %rdi', 'callq  0xfffffffffffd39fa', 'nop %edi, %edx', 'pushq  %r12', 'movq  0xc1143(%rip), %rax', 'pushq  %rbp', 'mov %rdi, %rbp', 'pushq  %rbx', 'test %rax, %rax', 'jnz 0x15b')",0.14732449410971193,1.0
41,42,"('add %rdi, %rbp', 'lea (%rcx,%rcx,4), %r9', 'lea (%rax,%rax,2), %rax', 'mov %r13, %rdi', 'lea (%rbp,%r14,1), %r10', 'add %r9, %r10', 'lea (%r10,%rax,2), %rax', 'lea (%rax,%rdx,8), %rsi', 'mov $0x1, %edx', 'callq  0x2e2f4', 'nop %edi, %edx', 'pushq  %r13', 'pushq  %r12', 'mov %edx, %r12d', 'pushq  %rbp', 'mov %rsi, %rbp', 'pushq  %rbx', 'mov %rdi, %rbx', 'sub $0x8, %rsp', 'movl  (%rdi), %edx', 'and $0x8000, %edx', 'jnz 0x3b')",0.16678110879968833,1.0
42,43,"('add %rdx, %rax', 'movq  %rax, 0x90(%rbx)', 'movq  0x8(%rbx), %rax', 'movzxb  (%rax), %eax', 'add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.07783205456510832,1.0
43,44,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.346777224534491,120.0
44,45,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.346777224534491,120.0
45,46,"('addq  %r12, 0x8(%rbx)', 'jmp 0xffffffffffffffa1')",0.03335659481361785,16.0
46,47,"('addq  0x96eb8(%rip), %rdx', 'add $0x1, %r15', 'cmpq  %r15, 0x96eb5(%rip)', 'movb  %al, 0x5(%rdx)', 'movl  0x110(%rsp), %eax', 'bswap %eax', 'movl  %eax, (%rdx)', 'jnbe 0xffffffffffffff65')",0.06393393970986776,10.0
47,48,"('and $0x1, %edi', 'jz 0x133')",0.2805000438502704,19.0
48,49,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.5918125447701252,60.0
49,50,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1d')",0.6261679477677795,52.0
50,51,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",0.4508102846419053,40.0
51,52,"('and $0xf7, %dh', 'movq  %rax, 0x8(%rbx)', 'movl  %edx, (%rbx)', 'movq  %rax, 0x30(%rbx)', 'movq  %rax, 0x20(%rbx)', 'xor %eax, %eax', 'add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",0.07505093937933947,2.0
52,53,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",0.5482383827099586,30.0
53,54,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.019458479958377305,10.0
54,55,"('andq  $0xfffffffffffffffe, 0x8(%r13)', 'movq  0x70(%rbp), %rax', 'lea 0x60(%rbp), %rdx', 'cmpq  %rdx, 0x18(%rax)', 'jnz 0x5d6')",0.05003395958622631,1.0
55,56,"('bsf %r8, %rax', 'add %rdi, %rax', 'cmpb  $0x0, (%rax)', 'jz 0x40')",0.030577344896249928,1.0
56,57,"('callq  %rax', '([vdso]) \t\tlea -0x4967(%rip), %rax', '([vdso]) \t\tlea -0x196e(%rip), %rdx', '([vdso]) \t\tcmpl  $0x7fffffff, -0x4974(%rip)', '([vdso]) \t\tcmovz %rdx, %rax', '([vdso]) \t\tmovq  0x20(%rax), %rax', '([vdso]) \t\ttest %rdi, %rdi', '([vdso]) \t\tjz 0x7ffd36673a08', '([vdso]) \t\tretq', 'cmp $0xfffffffffffff000, %rax', 'jbe 0x1a')",45.80584891524937,20.0
57,58,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xe7645(%rip)', 'jnz 0x2d')",1.0832788723223812,1.0
58,59,"('callq  0x37e90', 'nop %edi, %edx', 'sub $0x58, %rsp', 'mov %esi, %r10d', 'mov %rdi, %r9', 'mov %esi, %r8d', 'movq  %rdx, 0x30(%rsp)', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x18(%rsp)', 'xor %eax, %eax', 'and $0x40, %r10d', 'jnz 0x46')",0.08616980431721209,1.0
59,60,"('callq  0x384b8', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",0.5548432514858994,40.0
60,61,"('callq  0x6088', 'nop %edi, %edx', 'testb  $0x80, (%rdi)', 'jz 0x9')",0.04169620983412254,1.0
61,62,"('callq  0x7cf0', 'nop %edi, %edx', 'sub $0x18, %rsp', 'movq  0xc3119(%rip), %rax', 'test %rax, %rax', 'jnz 0x86')",0.05281507477199516,1.0
62,63,"('callq  0xffffffffffff1030', 'jmpq  0xe5ff2(%rip)', 'nop %edi, %edx', 'mov %edi, %ecx', 'mov %rdi, %rdx', 'vpxor %xmm0, %xmm0, %xmm0', 'and $0x3f, %ecx', 'cmp $0x20, %ecx', 'jnbe 0x2d')",1.4063818771538696,20.0
63,64,"('callq  0xfffffffffffffdee', 'pushq  %rbp', 'mov %rsp, %rbp')",0.9388418136972905,1.0
64,65,"('callq  0xfffffffffffffee2', 'pushq  %rbp', 'mov %rsp, %rbp')",0.5033278206048128,1.0
65,66,"('cmp $0x1, %dl', 'jnbe 0x3d')",0.17114224424581093,284.0
66,67,"('cmp $0x1, %dl', 'jz 0xffffffffffffffdd')",0.218149592714336,124.0
67,68,"('cmp $0x1, %edi', 'jz 0x10')",0.013898114855240541,2.0
68,69,"('cmp $0x1, %r13d', 'jz 0xda')",0.013898114855240541,1.0
69,70,"('cmp $0x1, %rax', 'jnz 0xffffffffffffff0b')",0.013898114855240541,2.0
70,71,"('cmp $0x10, %dl', 'jnb 0x19')",0.17009874840295203,377.0
71,72,"('cmp $0x100, %rdx', 'jnbe 0x97')",0.013898114855240541,2.0
72,73,"('cmp $0x1000, %rdx', 'jnbe 0xffffffffffffff72')",0.013898114855240541,2.0
73,74,"('cmp $0x1517f, %rsi', 'jnle 0xffffffffffffffee')",0.26716994740051886,20.0
74,75,"('cmp $0x1f, %r12', 'movq  0x8(%rsp), %rcx', 'movq  0x10(%rsp), %r11', 'jbe 0xcd')",0.03613584473098578,2.0
75,76,"('cmp $0x1f, %rbx', 'jbe 0x2a4')",0.2551093839459818,21.0
76,77,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",0.3610935791969274,1.0
77,78,"('cmp $0x20, %rdx', 'jb 0x4b')",0.17266567295725135,339.0
78,79,"('cmp $0x24, %r15b', 'jz 0xffffffffffffe732')",0.17338858895139048,120.0
79,80,"('cmp $0x2f, %al', 'jz 0xffffffffffffff85')",0.26716994740051886,20.0
80,81,"('cmp $0x2f, %eax', 'jnbe 0x7b4')",0.17338858895139048,120.0
81,82,"('cmp $0x3ff, %r12', 'jbe 0xa')",0.013898114855240541,1.0
82,83,"('cmp $0x3ff, %r13', 'jbe 0x25')",0.01389811485524054,5.0
83,84,"('cmp $0x3ff, %r13', 'jnbe 0xb')",0.01389811485524054,6.0
84,85,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",0.013898114855240541,3.0
85,86,"('cmp $0x3ff, %rax', 'jnbe 0x17b')",0.013898114855240541,1.0
86,87,"('cmp $0x4, %dl', 'jb 0xffffffffffffffb6')",0.218149592714336,124.0
87,88,"('cmp $0x4, %dl', 'jnb 0x35')",0.16403287192085975,316.0
88,89,"('cmp $0x4, %rax', 'jnz 0xfffffffffffffa1d')",0.01389811485524054,10.0
89,90,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",0.3610935791969274,1.0
90,91,"('cmp $0x40, %rdx', 'jnbe 0xa5')",1.3830575040833635,24.0
91,92,"('cmp $0x61, %al', 'jle 0x27a')",0.013898114855240541,1.0
92,93,"('cmp $0x61, %al', 'jle 0x27e')",0.013898114855240541,1.0
93,94,"('cmp $0x61, %al', 'jle 0x290')",0.013898114855240541,1.0
94,95,"('cmp $0x7fffffde, %r10d', 'jnbe 0xffffffffffffe229')",0.17338858895139048,120.0
95,96,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",0.17338858895139048,40.0
96,97,"('cmp $0x8, %dl', 'jb 0xffffffffffffff71')",0.2249579753096392,24.0
97,98,"('cmp $0x8, %dl', 'jnb 0x29')",0.17017198355655372,336.0
98,99,"('cmp $0x80, %rdx', 'jb 0x5c')",0.013898114855240541,1.0
99,100,"('cmp $0x9, %rax', 'jbe 0x13')",0.26716994740051886,20.0
100,101,"('cmp $0xa, %ebx', 'jz 0xa3')",0.013898114855240541,16.0
101,102,"('cmp $0xffffffff, %eax', 'jnz 0x36')",0.013898114855240541,2.0
102,103,"('cmp $0xffffffff, %eax', 'jnz 0xffffffffffffff84')",0.013898114855240541,2.0
103,104,"('cmp $0xffffffff, %eax', 'jz 0x150')",0.16949857738806975,41.0
104,105,"('cmp $0xffffffff, %eax', 'jz 0x42')",0.013898114855240541,16.0
105,106,"('cmp $0xffffffff, %eax', 'jz 0xd0')",0.3610935791969274,1.0
106,107,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff1b')",0.17747808828718917,39.0
107,108,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff32')",0.013898114855240541,1.0
108,109,"('cmp $0xffffffffffffffff, %r8', 'jz 0x42')",0.013898114855240541,1.0
109,110,"('cmp $0xffffffffffffffff, %rax', 'jnz 0xffffffffffffffe2')",0.26716994740051886,20.0
110,111,"('cmp $0xffffffffffffffff, %rax', 'jz 0x22')",0.013898114855240541,1.0
111,112,"('cmp $0xffffffffffffffff, %rsi', 'jz 0x52')",0.013898114855240541,1.0
112,113,"('cmp %r11, %rcx', 'jz 0x398')",0.01389811485524054,6.0
113,114,"('cmp %r14, %rbx', 'jz 0x49')",0.013898114855240541,1.0
114,115,"('cmp %r14, %rdx', 'jnbe 0xfffffffffffffff3')",0.013898114855240541,1.0
115,116,"('cmp %r15, %rax', 'jnz 0xfffffffffffff976')",0.013898114855240541,1.0
116,117,"('cmp %r8, %r9', 'jnbe 0x17')",0.01389811485524054,6.0
117,118,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')",0.17452060790173557,1323.0
118,119,"('cmp %rax, %r12', 'jz 0x16')",0.013898114855240541,16.0
119,120,"('cmp %rax, %r13', 'jbe 0xb2')",0.17338858895139048,40.0
120,121,"('cmp %rax, %r15', 'jnz 0x285')",0.17338858895139048,40.0
121,122,"('cmp %rax, %r15', 'jnz 0xffffffffffffe755')",0.16664593901623512,60.0
122,123,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')",0.17338858895139048,120.0
123,124,"('cmp %rax, %r8', 'jnl 0xfffffffffffffe44')",0.2671699474005189,40.0
124,125,"('cmp %rax, %rbx', 'jnz 0xfffffffffffffec7')",0.013898114855240541,1.0
125,126,"('cmp %rbx, %rdx', 'jnbe 0xfffffffffffffff4')",0.013898114855240541,1.0
126,127,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe470b', 'jmpq  0xe5ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')",1.1395932951575654,339.0
127,128,"('cmp %rdx, %rcx', 'jb 0x18b')",0.01389811485524054,6.0
128,129,"('cmp %rsi, %rdi', 'jnbe 0xb1')",0.013898114855240541,1.0
129,130,"('cmpb  $0x0, (%rax)', 'jnz 0xfffffffffffffeaf')",0.016677364772608463,1.0
130,131,"('cmpb  $0x0, 0x1(%rdi)', 'movq  (%rbx), %r12', 'jnz 0x41')",0.5343398015376178,20.0
131,132,"('cmpb  $0x0, 0x54(%rsp)', 'jz 0x66c')",0.016677364772608463,1.0
132,133,"('cmpb  $0x0, 0xc9d00(%rip)', 'jnz 0xc')",0.43331117587527235,1.0
133,134,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')",0.20806612021482848,120.0
134,135,"('cmpl  $0x0, 0x1c(%rsp)', 'jz 0xffffffffffffffc3')",0.016677364772608463,2.0
135,136,"('cmpl  $0x1, 0x8(%rsp)', 'jz 0x128')",0.016677364772608463,2.0
136,137,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0x62')",0.20806612021482848,120.0
