,index,BB,average_energy,occurences
0,1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.0547482327790285,7.0
1,2,"('add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",1.2197623623366465,3.0
2,3,"('add $0x18, %rsp', 'retq')",0.7468583204139554,6.0
3,4,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",1.5699894325723713,2.0
4,5,"('add $0x20, %rdi', 'and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'jmp 0x4f')",0.6888199301837741,2.0
5,6,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",0.8074590263462231,2.0
6,7,"('add $0x28, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",1.6203713759294294,3.0
7,8,"('add $0x28, %rsp', 'retq')",0.9105699504178721,3.0
8,9,"('add $0x28, %rsp', 'vmovapd %xmm1, %xmm0', 'popq  %rbx', 'popq  %rbp', 'retq')",1.8211404930732809,3.0
9,10,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",3.1816196785804003,1.0
10,11,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",3.1816196785804003,1.0
11,12,"('add $0x40, %rsp', 'vmovapd %xmm4, %xmm0', 'popq  %rbx', 'retq')",1.0842335399867615,3.0
12,13,"('add $0x448, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.017934511871495,3.0
13,14,"('add $0x48, %rsp', 'retq')",0.6310918724227692,3.0
14,15,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",1.0605393006225967,1.0
15,16,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.025783603892399,5.0
16,17,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb78')",2.297836631942801,1.0
17,18,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.7617629932867624,7.0
18,19,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",1.2845365661893116,2.0
19,20,"('add $0x8, %rsp', 'retq')",0.9239634023080088,2.0
20,21,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.6202787994795849,1.0
21,22,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.37905985858617186,1.0
22,23,"('add $0xd8, %rsp', 'retq')",0.26616635488501666,3.0
23,24,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.6888199301837741,10.0
24,25,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.43833987481182846,4.0
25,26,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.37572052723607074,4.0
26,27,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.6262005826080163,4.0
27,28,"('addl  $0x1, -0x654(%rbp)', 'jmp 0xffffffffffffef98')",1.7127154215857487,2.0
28,29,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.6262005826080163,4.0
29,30,"('addsd %xmm2, %xmm2', 'movapd %xmm2, %xmm0', 'jmp 0xc0')",1.9443223472601956,1.0
30,31,"('and $0x1, %esi', 'test %ebx, %ebx', 'jz 0x1615')",0.8563577107928744,2.0
31,32,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.9558891511933325,2.0
32,33,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vpcmpeqby  (%rdi), %ymm0, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1d')",2.140895165338491,2.0
33,34,"('and $0x2, %ecx', 'jz 0xfffffffffffffd30')",0.8837830466375989,1.0
34,35,"('and $0x8000, %eax', 'jz 0x480')",0.713631721779497,2.0
35,36,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",0.6920331149385799,3.0
