,index,BB,average_energy,occurences
0,1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.17922053108149588,10.0
1,2,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",0.285722854126119,1.0
2,3,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.3151367136503521,1.0
3,4,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.3151367136503521,1.0
4,5,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",0.10504557121678404,1.0
5,6,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.16411873301828964,9.0
6,7,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0x919f8')",0.22759808312235733,1.0
7,8,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.11325186785040299,9.0
8,9,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.3809035902127463,1.0
9,10,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.23277397989845067,1.0
10,11,"('add $0xd8, %rsp', 'retq')",0.03760128180040906,301.0
11,12,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.08231263288629437,900.0
12,13,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.0526422289787083,301.0
13,14,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.045122260952704475,301.0
14,15,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.07520325508073367,301.0
15,16,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.07520325508073367,301.0
16,17,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.1452921224808798,301.0
17,18,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",0.09776353751568008,301.0
18,19,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",0.3174183494826057,1.0
19,20,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.1481296103142956,1.0
20,21,"('callq  (%rbp,%rbx,8)', 'nop %edi, %edx', 'cmpb  $0x0, 0xc2695(%rip)', 'jnz 0x2d')",0.2626139280419601,1.0
21,22,"('callq  0x35458', 'nop %edi, %edx', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x12')",0.1393872667080388,9.0
22,23,"('callq  0xfffffffffffffe9e', 'pushq  %rbp', 'mov %rsp, %rbp')",0.22759808312235733,1.0
23,24,"('callq  0xffffffffffffffd3', 'pushq  %rbp', 'mov %rsp, %rbp')",0.11591219490714794,1.0
24,25,"('cmp $0x1, %dl', 'jnbe 0x3d')",0.037642668847596206,303.0
25,26,"('cmp $0x10, %dl', 'jnb 0x19')",0.037414527491925774,900.0
26,27,"('cmp $0x2, %ebp', 'jz 0xffffffffffffff2f')",0.08753863052799479,1.0
27,28,"('cmp $0x20, %rdx', 'jb 0x4b')",0.037414527491925774,900.0
28,29,"('cmp $0x2f, %eax', 'jnbe 0x7b4')",0.03760128180040906,301.0
29,30,"('cmp $0x3ff, %r13', 'jbe 0x25')",0.1058054619801938,1.0
30,31,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",0.1058054619801938,1.0
31,32,"('cmp $0x4, %dl', 'jnb 0x35')",0.03739425764897518,603.0
32,33,"('cmp $0x4, %rdx', 'jnz 0xffffffffffffff86')",0.08753863052799479,1.0
33,34,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",0.03760128180040906,301.0
34,35,"('cmp $0x8, %dl', 'jnb 0x29')",0.0374220198628243,606.0
35,36,"('cmp $0xa, %ebx', 'jz 0xa3')",0.05232161984352259,111.0
36,37,"('cmp $0xffffffff, %eax', 'jnz 0x36')",0.1058054619801938,1.0
37,38,"('cmp $0xffffffff, %eax', 'jz 0x150')",0.04558820969252085,9.0
38,39,"('cmp $0xffffffff, %eax', 'jz 0x42')",0.05232161984352259,111.0
39,40,"('cmp $0xffffffff, %eax', 'jz 0xd0')",0.08753863052799479,1.0
40,41,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff1b')",0.03737393453314311,300.0
41,42,"('cmp $0xffffffff, %eax', 'mov $0xffffffff, %eax', 'cmovz %eax, %r14d', 'test %ebp, %ebp', 'jz 0x3e')",0.15756835682517606,1.0
42,43,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')",0.03750666824451397,8481.0
43,44,"('cmp %rax, %r13', 'jbe 0xb2')",0.04355856175338763,9.0
44,45,"('cmp %rax, %r15', 'jnz 0x285')",0.03760128180040906,301.0
45,46,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')",0.03760128180040906,301.0
46,47,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe47fb', 'jmpq  0xc0ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')",0.24693713724092037,900.0
47,48,"('cmpb  $0x0, 0xa4d10(%rip)', 'jnz 0xc')",0.10504557121678404,1.0
48,49,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')",0.045122260952704475,301.0
