,index,BB,average_energy,occurences
0,7,"('add $0x18, %rsp', 'retq')",0.05293930837766787,6.0
1,8,"('add $0x28, %rsp', 'popq  %rbx', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",0.035674653920861985,1.0
2,15,"('add $0x8, %rsp', 'popq  %rbp', 'popq  %r12', 'retq')",0.01234860624128931,2.0
3,18,"('add $0x8, %rsp', 'retq')",0.06996270931166997,8.0
4,19,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.15775765801169692,19.0
5,26,"('add %rbx, %rax', 'movq  0x8(%rax), %r8', 'lea -0x10(%rax), %rcx', 'cmp %r8, %rcx', 'jz 0x374')",0.129516858948705,18.0
6,36,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",0.1314642304790737,19.0
7,37,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.061350048328259014,19.0
8,43,"('callq  0xeb59', 'nop %edi, %edx', 'sub $0x8, %rsp', 'callq  0x57718', 'nop %edi, %edx', 'sub $0x18, %rsp', 'movq  %fs:0x28, %rax', 'movq  %rax, 0x8(%rsp)', 'xor %eax, %eax', 'movl  %fs:0x18, %eax', 'test %eax, %eax', 'jnz 0x4e')",0.38116025849436846,6.0
9,45,"('callq  0xffffffffffffffc3', 'pushq  %rbp', 'mov %rsp, %rbp')",0.31468394689271123,1.0
10,47,"('cmp $0x1, %edi', 'jz 0x10')",0.046256233798719855,18.0
11,48,"('cmp $0x1, %edx', 'jz 0x185')",0.12103291211367628,2.0
12,55,"('cmp $0x24, %edx', 'jnbe 0x17c')",0.12103291211367628,2.0
13,56,"('cmp $0x2d, %cl', 'jz 0x282')",0.14523786993356438,2.0
14,58,"('cmp $0x30, %cl', 'jz 0x218')",0.14523786993356438,2.0
15,62,"('cmp $0x3ff, %r13', 'jbe 0x25')",0.0438216951777346,19.0
16,70,"('cmp $0xa, %edx', 'jz 0xfffffffffffffec3')",0.12103291211367628,2.0
17,77,"('cmp %r8, %r9', 'jnbe 0x21')",0.05293930837766787,6.0
18,83,"('cmp %rax, %r8', 'jnb 0xffffffffffffffa9')",0.12103291211367628,2.0
19,84,"('cmp %rbx, %r14', 'jz 0x280')",0.12103291211367628,2.0
20,85,"('cmp %rbx, %rdi', 'jz 0x1dd')",0.12103291211367628,2.0
21,94,"('cmpl  $0x3, -0x4c(%rbp)', 'jz 0x41')",0.14523786993356438,1.0
