,index,BB,average_energy,occurences
0,1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.03291400626115718,42.0
1,6,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.3823882629686015,1.0
2,9,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",1.3823882629686015,1.0
3,10,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.8447920044072689,1.0
4,11,"('add $0xd8, %rsp', 'retq')",0.12968754249246953,41.0
5,13,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.34248680102840084,100.0
6,14,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.18610163829001758,40.0
7,15,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.1595155735724711,40.0
8,16,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.26585946210956257,40.0
9,17,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.26585946210956257,40.0
10,18,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.9783628984389497,21.0
11,19,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",0.3371879573289776,41.0
12,20,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",1.1519907129179607,1.0
13,21,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.5375962585613328,1.0
14,25,"('callq  0xffffffffffffffd6', 'pushq  %rbp', 'mov %rsp, %rbp')",0.3340322421597819,1.0
15,26,"('cmp $0x1, %dl', 'jnbe 0x3d')",0.08861982070318751,60.0
16,27,"('cmp $0x10, %dl', 'jnb 0x19')",0.15567570822267768,100.0
17,29,"('cmp $0x20, %rdx', 'jb 0x4b')",0.15567570822267768,100.0
18,30,"('cmp $0x2f, %eax', 'jnbe 0x7b4')",0.13292973105478129,40.0
19,31,"('cmp $0x3ff, %r13', 'jbe 0x25')",0.3839969043059869,1.0
20,32,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",0.3839969043059869,1.0
21,33,"('cmp $0x4, %dl', 'jnb 0x35')",0.13292973105478129,80.0
22,35,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",0.12968754249246953,41.0
23,36,"('cmp $0x8, %dl', 'jnb 0x29')",0.13292973105478129,80.0
24,37,"('cmp $0xa, %ebx', 'jz 0xa3')",0.38399690430598693,19.0
25,38,"('cmp $0xffffffff, %eax', 'jnz 0x36')",0.3839969043059869,1.0
26,39,"('cmp $0xffffffff, %eax', 'jz 0x150')",0.01745440474118122,22.0
27,40,"('cmp $0xffffffff, %eax', 'jz 0x42')",0.38399690430598693,19.0
28,42,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff1b')",0.12332980844713162,40.0
29,43,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')",0.22573992843595347,616.0
30,45,"('cmp %rax, %r15', 'jnz 0x285')",0.12968754249246953,41.0
31,46,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')",0.13292973105478129,40.0
32,47,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe47ab', 'jmpq  0xc0ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')",1.027460373458555,100.0
33,49,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')",0.1595155735724711,40.0
34,50,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0x62')",0.16360571648458572,39.0
35,51,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0xa')",0.16360571648458572,39.0
36,52,"('cmpl  $0x14, -0x10(%rbp)', 'jnl 0x59')",0.0033719037156975567,210.0
37,54,"('cmpl  $0x14, -0xc(%rbp)', 'jnl 0x53')",0.18439372853020886,21.0
38,55,"('cmpl  $0x14, -0xc(%rbp)', 'jnl 0x8e')",0.004353565318752984,21.0
39,56,"('cmpl  $0xa, -0x510(%rbp)', 'jnz 0x3d')",0.1595155735724711,40.0
40,57,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x670')",0.1595155735724711,40.0
41,58,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')",0.1595155735724711,40.0
42,59,"('cmpq  $0x0, 0xade58(%rip)', 'jz 0x3f8')",0.15562494982680106,41.0
43,60,"('cmpq  $0x0, 0xb16d0(%rip)', 'jnz 0x120')",0.1595155735724711,40.0
44,61,"('cmpq  $0x0, 0xb16e2(%rip)', 'jnz 0x112')",0.1595155735724711,40.0
45,62,"('cmpq  %r15, 0x9e2de(%rip)', 'cmovnbe %r13, %rax', 'movq  %rax, 0x10(%rsp)', 'movq  $0x0, 0x8(%rsp)', 'lea 0x60(%rbx), %r11', 'movl  %r14d, 0x48(%rsp)', 'movq  %rbp, 0x20(%rsp)', 'movq  0x78(%rbx), %r10', 'cmp %r11, %r10', 'jz 0x337')",2.534378975886562,1.0
46,63,"('cmpq  %rdx, 0x40(%rbp)', 'jz 0xf6')",0.46079510010128194,19.0
47,65,"('cmpq  0x9c163(%rip), %rbx', 'jb 0xb3')",0.3839969043059869,1.0
48,68,"('jb 0x7',)",0.05536971946701813,31.0
49,70,"('jmp 0xfffffffffffffbfc',)",0.21268777707418293,40.0
50,73,"('lea (%r12,%r8,1), %rsi', 'mov %r14, %rdx', 'mov %rbp, %rdi', 'callq  0x260b', 'nop %edi, %edx', 'test %rdx, %rdx', 'jz 0x149')",1.5359876172239475,1.0
51,74,"('lea (%rax,%rbx,1), %rdx', 'mov $0x1, %ecx', 'mov %rbp, %rdi', 'callq  0xfffffffffffaafe8', 'nop %edi, %edx', 'pushq  %rbp', 'mov %ecx, %ebp', 'pushq  %rbx', 'mov %rdi, %rbx', 'sub $0x18, %rsp', 'movq  0x38(%rdi), %rdi', 'movl  (%rbx), %eax', 'movq  %rsi, (%rsp)', 'movq  %rdx, 0x8(%rsp)', 'test %rdi, %rdi', 'jz 0x6')",3.455972138753882,1.0
52,75,"('lea (%rax,%rbx,2), %rcx', 'movzxw  (%rcx), %edx', 'test %dx, %dx', 'jz 0xffffffffffffff49')",0.8447920044072689,1.0
53,78,"('lea -0x11(%r13), %rax', 'shr $0x4, %rax', 'mov %rax, %r15', 'xor %eax, %eax', 'movq  %rax, 0x10(%rsp)', 'cmpq  $0x0, %fs:0xffffffffffffffc8', 'jz 0x12')",1.3823882629686015,1.0
54,79,"('lea -0x28(%rbp), %rsp', 'mov %r9d, %eax', 'popq  %rbx', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",0.5446880831250216,41.0
