,index,BB,average_energy,occurences
0,3,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.022337909773571484,7.0
1,11,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.03127307368300008,5.0
2,14,"('add $0x88, %rsp', 'mov %r8, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.1563653684150004,1.0
3,15,"('add $0xa0, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'retq')",0.09555773527731198,1.0
4,16,"('add $0xd8, %rsp', 'retq')",0.008331760799146902,102.0
5,18,"('add %r13, %r12', 'sub %r13, %r14', 'movq  %rax, 0x28(%rbp)', 'add %r14, %r15', 'jnz 0x44')",0.01819604953741891,303.0
6,19,"('add %r15d, %r9d', 'cmpb  $0x0, (%rbx)', 'jnz 0xfffffffffffffad6')",0.011664532393561033,102.0
7,20,"('add %r8d, %ebx', 'test %ebx, %ebx', 'jnle 0xa21')",0.01019809943706774,100.0
8,21,"('addl  $0x1, -0x514(%rbp)', 'cmpq  $0x0, -0x4e0(%rbp)', 'jnz 0x1519')",0.01666354138498656,102.0
9,22,"('addl  -0x4f0(%rbp), %r9d', 'jmp 0xfffffffffffff3d0')",0.016996812212686292,100.0
10,24,"('and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'vmovdquy  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'sar %cl, %eax', 'test %eax, %eax', 'jz 0x1f')",0.032674485157254046,201.0
11,25,"('and $0x8000, %r15d', 'movq  %rax, -0x4c0(%rbp)', 'movl  %r15d, -0x4b4(%rbp)', 'jnz 0x9e')",0.021662570163104845,102.0
12,29,"('and $0xfffffffffffffff0, %rax', 'lea -0x11(%rax), %rbx', 'shr $0x4, %rbx', 'jmp 0xffffffffffffff78')",0.13030581917427442,1.0
13,30,"('and $0xfffffffffffffff0, %rax', 'mov %rax, %r13', 'test %rdi, %rdi', 'jz 0x504')",0.06080965138034955,1.0
14,36,"('callq  0xffffffffffffffc5', 'pushq  %rbp', 'mov %rsp, %rbp')",0.02494632022874688,1.0
15,37,"('cmp $0x1, %dl', 'jnbe 0x3d')",0.008017354731254566,106.0
16,38,"('cmp $0x10, %dl', 'jnb 0x19')",0.008084142594285207,310.0
17,42,"('cmp $0x20, %rdx', 'jb 0x4b')",0.008216669522060373,305.0
18,43,"('cmp $0x2f, %eax', 'jnbe 0x7b4')",0.00849839601512984,100.0
19,45,"('cmp $0x3ff, %r13', 'jbe 0x25')",0.04343460031053775,1.0
20,46,"('cmp $0x3ff, %rax', 'jbe 0x1f6')",0.04343460031053775,1.0
21,47,"('cmp $0x4, %dl', 'jnb 0x35')",0.008211010642637526,207.0
22,49,"('cmp $0x7fffffff, %r15', 'jnle 0x348')",0.008331760799146902,102.0
23,50,"('cmp $0x8, %dl', 'jnb 0x29')",0.008171534629932538,208.0
24,51,"('cmp $0xa, %ebx', 'jz 0xa3')",0.007239100051756293,114.0
25,52,"('cmp $0xffffffff, %eax', 'jnz 0x36')",0.04343460031053775,1.0
26,54,"('cmp $0xffffffff, %eax', 'jz 0x150')",0.0062049429015053935,7.0
27,55,"('cmp $0xffffffff, %eax', 'jz 0x42')",0.00842099393775732,98.0
28,57,"('cmp $0xffffffff, %eax', 'jz 0xffffffffffffff1b')",0.007984207932697487,101.0
29,60,"('cmp %rax, %r12', 'jb 0xfffffffffffffff0')",0.00799691210005932,2792.0
30,62,"('cmp %rax, %r15', 'jnz 0x285')",0.008331760799146902,102.0
31,63,"('cmp %rax, %r15', 'jnz 0xfffffffffffffce0')",0.008331760799146902,102.0
32,66,"('cmp %rdx, %rbx', 'mov %r12, %rsi', 'mov %rbx, %r14', 'cmovbe %rbx, %rdx', 'mov %rdx, %r13', 'callq  0xfffffffffffe47eb', 'jmpq  0xc0ff2(%rip)', 'nop %edi, %edx', 'mov %rdi, %rax', 'add %rdx, %rax', 'jmp 0xd')",0.05458805536012057,303.0
33,68,"('cmpb  $0x20, -0x508(%rbp)', 'jnz 0xfffffffffffff718')",0.01019809943706774,100.0
34,71,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0x62')",0.01019809943706774,100.0
35,72,"('cmpl  $0x10, -0x510(%rbp)', 'jnz 0xa')",0.01019809943706774,100.0
36,74,"('cmpl  $0x64, -0x14(%rbp)', 'jnl 0x54')",0.01876851850904905,101.0
37,75,"('cmpl  $0xa, -0x510(%rbp)', 'jnz 0x3d')",0.01019809943706774,100.0
38,77,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x670')",0.01019809943706774,100.0
39,78,"('cmpq  $0x0, -0x500(%rbp)', 'jz 0x6b')",0.01019809943706774,100.0
40,81,"('cmpq  $0x0, 0xade98(%rip)', 'jz 0x3f8')",0.009998136703007589,102.0
41,82,"('cmpq  $0x0, 0xb1710(%rip)', 'jnz 0x120')",0.009998136703007589,102.0
42,83,"('cmpq  $0x0, 0xb1722(%rip)', 'jnz 0x112')",0.009998136703007589,102.0
43,84,"('cmpq  %r15, 0x9e31e(%rip)', 'cmovnbe %r13, %rax', 'movq  %rax, 0x10(%rsp)', 'movq  $0x0, 0x8(%rsp)', 'lea 0x60(%rbx), %r11', 'movl  %r14d, 0x48(%rsp)', 'movq  %rbp, 0x20(%rsp)', 'movq  0x78(%rbx), %r10', 'cmp %r11, %r10', 'jz 0x337')",0.2866711875892748,1.0
44,86,"('cmpq  %rdx, 0x40(%rbp)', 'jz 0xf6')",0.00868685278735218,114.0
45,88,"('cmpq  0x9c1a3(%rip), %rbx', 'jb 0xb3')",0.04343460031053775,1.0
46,93,"('jb 0x7',)",0.03197017469816014,15.0
47,99,"('jmp 0xfffffffffffffbfc',)",0.013330848937343454,102.0
48,107,"('lea (%r12,%r8,1), %rsi', 'mov %r14, %rdx', 'mov %rbp, %rdi', 'callq  0x260b', 'nop %edi, %edx', 'test %rdx, %rdx', 'jz 0x149')",0.034748083896962434,5.0
49,108,"('lea (%rax,%rbx,1), %rdx', 'mov $0x1, %ecx', 'mov %rbp, %rdi', 'callq  0xfffffffffffaafe8', 'nop %edi, %edx', 'pushq  %rbp', 'mov %ecx, %ebp', 'pushq  %rbx', 'mov %rdi, %rbx', 'sub $0x18, %rsp', 'movq  0x38(%rdi), %rdi', 'movl  (%rbx), %eax', 'movq  %rsi, (%rsp)', 'movq  %rdx, 0x8(%rsp)', 'test %rdi, %rdi', 'jz 0x6')",0.3909154392801621,1.0
50,109,"('lea (%rax,%rbx,2), %rcx', 'movzxw  (%rcx), %edx', 'test %dx, %dx', 'jz 0xffffffffffffff49')",0.09555773527731198,1.0
51,114,"('lea -0x11(%r13), %rax', 'shr $0x4, %rax', 'mov %rax, %r15', 'xor %eax, %eax', 'movq  %rax, 0x10(%rsp)', 'cmpq  $0x0, %fs:0xffffffffffffffc8', 'jz 0x12')",0.1563653684150004,1.0
52,116,"('lea -0x28(%rbp), %rsp', 'mov %r9d, %eax', 'popq  %rbx', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'popq  %rbp', 'retq')",0.03499347846052656,102.0
53,120,"('lea 0x1(%rbx), %rax', 'xor %r10d, %r10d', 'xor %r11d, %r11d', 'mov $0xffffffff, %r8d', 'movq  %rax, -0x4c8(%rbp)', 'movsx %r15b, %eax', 'lea 0x81791(%rip), %rbx', 'lea 0xab44a(%rip), %rsi', 'sub $0x20, %eax', 'movl  $0x0, -0x520(%rbp)', 'cdqe', 'movl  $0x0, -0x53c(%rbp)', 'movzxb  (%rbx,%rax,1), %eax', 'movl  $0x0, -0x4e8(%rbp)', 'movl  $0x0, -0x500(%rbp)', 'movq  (%rsi,%rax,8), %rax', 'lea -0x38(%rbp), %rsi', 'movl  $0x0, -0x530(%rbp)', 'movl  $0x0, -0x4d8(%rbp)', 'movl  $0x0, -0x4f0(%rbp)', 'movl  $0x0, -0x518(%rbp)', 'movl  $0x0, -0x51c(%rbp)', 'movq  $0x0, -0x4e0(%rbp)', 'movb  $0x20, -0x508(%rbp)', 'movq  %rsi, -0x4f8(%rbp)', 'jmp %rax')",0.1499719713983428,102.0
54,121,"('lea 0x1(%rdi), %eax', 'cmp $0x3, %edi', 'jz 0x3f')",0.0781826842075002,1.0
55,122,"('lea 0x1(%rdx), %rax', 'movq  %rax, 0x28(%rbp)', 'movb  %bl, (%rdx)', 'movl  (%rbp), %eax', 'test $0x2, %al', 'jnz 0xb1')",0.027508647471429285,114.0
56,124,"('lea 0x17(%rdi), %rax', 'xor %ebx, %ebx', 'cmp $0x1f, %rax', 'jnbe 0x82')",0.0868692006210755,1.0
57,125,"('lea 0x2(%rdi), %eax', 'cmp $0x2, %edi', 'jz 0x26')",0.0781826842075002,1.0
