,index,BB,average_energy,occurences
0,1,"('add $0x18, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.47575813413737184,7.0
1,2,"('add $0x18, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",1.0364423036342059,3.0
2,3,"('add $0x18, %rsp', 'retq')",1.438869320260716,6.0
3,4,"('add $0x1d0, %rsp', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.14794179233454893,2.0
4,5,"('add $0x20, %rdi', 'and $0x1f, %ecx', 'and $0xffffffffffffffe0, %rdi', 'jmp 0x4f')",0.31454099469902114,2.0
5,6,"('add $0x20, %rdi', 'vmovdqay  (%rdi), %ymm8', 'vpcmpeqb %ymm8, %ymm0, %ymm1', 'vpcmpeqb %ymm8, %ymm9, %ymm2', 'vpor %ymm1, %ymm2, %ymm1', 'vpmovmskb %ymm1, %eax', 'test %eax, %eax', 'jnz 0xe4')",0.4666637945683099,2.0
6,7,"('add $0x28, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",1.7355236801666576,3.0
7,8,"('add $0x28, %rsp', 'retq')",0.5758010308383712,3.0
8,9,"('add $0x28, %rsp', 'vmovapd %xmm1, %xmm0', 'popq  %rbx', 'popq  %rbp', 'retq')",2.3163459531729558,3.0
9,10,"('add $0x38, %rsp', 'mov %r12d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.7626645864114803,1.0
10,11,"('add $0x38, %rsp', 'mov %r14d, %eax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.7626645864114803,1.0
11,12,"('add $0x40, %rsp', 'vmovapd %xmm4, %xmm0', 'popq  %rbx', 'retq')",3.6673861073830287,3.0
12,13,"('add $0x448, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",2.2010483966505765,3.0
13,14,"('add $0x48, %rsp', 'retq')",2.3552813057620097,3.0
14,15,"('add $0x8, %rbx', 'cmp %rbx, %r12', 'jnz 0xfffffffffffffff7')",0.9208887556269155,1.0
15,16,"('add $0x8, %rsp', 'mov %r13, %rax', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'popq  %r14', 'popq  %r15', 'retq')",0.460180039997857,5.0
16,17,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'jmp 0xafb78')",1.9952564498210843,1.0
17,18,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'popq  %r12', 'popq  %r13', 'retq')",0.34360339029225945,7.0
18,19,"('add $0x8, %rsp', 'popq  %rbx', 'popq  %rbp', 'retq')",0.12104252078769166,2.0
19,20,"('add $0x8, %rsp', 'retq')",0.4799983181969919,2.0
